title,district,name,party_aff,official_phone,official_email
Representative,47,Jimmy Anderson (i),D,(608) 266-8570,Rep.Anderson@legis.wisconsin.gov
Representative,48,Samba Baldeh (i),D,(608) 266-0960,Rep.Baldeh@legis.wisconsin.gov
Representative,49,Travis Tranel (i),R,(608) 266-1170,Rep.Tranel@legis.wisconsin.gov
Representative,50,Tony Kurtz (i),R,(608) 266-8531,Rep.Kurtz@legis.wisconsin.gov
Representative,51,Todd Novak (i),R,(608) 266-7502,Rep.Novak@legis.wisconsin.gov
Representative,52,Jerry O'Connor,R,(608) 266-3156,Rep.OConnor@legis.wisconsin.gov
Representative,53,Michael Schraa (i),R,(608) 267-7990,Rep.Schraa@legis.wisconsin.gov
Representative,54,Lori Palmeri,D,(608) 266-2254,Rep.Palmeri@legis.wisconsin.gov
Representative,55,Nate Gustafson,R,(608) 266-5719,Rep.Gustafson@legis.wisconsin.gov
Representative,56,Dave Murphy (i),R,(608) 266-7500,Rep.Murphy@legis.wisconsin.gov
Representative,57,Lee Snodgrass (i),D,(608) 266-3070,Rep.Snodgrass@legis.wisconsin.gov
Representative,58,Rick Gundrum (i),R,(608) 264-8486,Rep.Gundrum@legis.wisconsin.gov
Representative,59,Ty Bodden,R,(608) 266-9175,Rep.Bodden@legis.wisconsin.gov
Representative,60,Robert Brooks (i),R,(608) 267-2369,Rep.Rob.Brooks@legis.wisconsin.gov
Representative,61,Amanda Nedweski,R,(608) 266-2530,Rep.Nedweski@legis.wisconsin.gov
Representative,62,Robert Wittke (i),R,(608) 266-0731,Rep.Wittke@legis.wisconsin.gov
Representative,63,Robin Vos (i),R,(608) 266-9171,Rep.Vos@legis.wisconsin.gov
Representative,64,Tip McGuire (i),D,(608) 266-5504,Rep.McGuire@legis.wisconsin.gov
Representative,65,Tod Ohnstad (i),D,(608) 266-0455,Rep.Ohnstad@legis.wisconsin.gov
Representative,66,Greta Neubauer (i),D,(608) 266-0634,Rep.Neubauer@legis.wisconsin.gov
Representative,67,Rob Summerfield (i),R,(608) 266-1194,Rep.Summerfield@legis.wisconsin.gov
Representative,68,Karen Hurd,R,(608) 266-9172,Rep.Hurd@legis.wisconsin.gov
Representative,69,Donna Rozar (i),R,(608) 267-0280,Rep.Rozar@legis.wisconsin.gov
Representative,70,Nancy VanderMeer (i),R,(608) 266-8366,Rep.VanderMeer@legis.wisconsin.gov
Representative,71,Katrina Shankland (i),D,(608) 267-9649,Rep.Shankland@legis.wisconsin.gov
Representative,72,Scott Krug (i),R,(608) 266-0215,Rep.Krug@legis.wisconsin.gov
Representative,73,Angie Sapik,R,(608) 266-0640,Rep.Sapik@legis.wisconsin.gov
Representative,74,Chanz Green,R,(608) 266-7690,Rep.Green@legis.wisconsin.gov
Representative,75,David Armstrong (i),R,(608) 266-2519,Rep.Armstrong@legis.wisconsin.gov
Representative,76,Francesca Hong (i),D,(608) 266-5342,Rep.Hong@legis.wisconsin.gov
Representative,77,Shelia Stubbs (i),D,(608) 266-3784,Rep.Stubbs@legis.wisconsin.gov
Representative,78,Lisa Subeck (i),D,(608) 266-7521,Rep.Subeck@legis.wisconsin.gov
Representative,79,Alex Joers,D,(608) 266-5340,Rep.Joers@legis.wisconsin.gov
Representative,80,Mike Bare,D,(608) 266-3520,Rep.Bare@legis.wisconsin.gov
Representative,81,Dave Considine (i),D,(608) 266-7746,Rep.Considine@legis.wisconsin.gov
Representative,82,Chuck Wichgers (i),R,(608) 266-8590,Rep.Wichgers@legis.wisconsin.gov
Representative,83,Nik Rettinger,R,(608) 266-3363,Rep.Rettinger@legis.wisconsin.gov
Representative,84,Bob Donovan,R,(608) 267-5158,Rep.Donovan@legis.wisconsin.gov
Representative,85,Patrick Snyder (i),R,(608) 266-0654,Rep.Snyder@legis.wisconsin.gov
Representative,86,John Spiros (i),R,(608) 266-1182,Rep.Spiros@legis.wisconsin.gov
Representative,87,James Edming (i),R,(608) 266-7506,Rep.Edming@legis.wisconsin.gov
Representative,88,John Macco (i),R,(608) 266-0485,Rep.Macco@legis.wisconsin.gov
Representative,89,Elijah Behnke (i),R,(608) 266-2343,Rep.Behnke@legis.wisconsin.gov
Representative,90,Kristina Shelton (i),D,(608) 266-0616,Rep.Shelton@legis.wisconsin.gov
Representative,91,Jodi Emerson (i),D,(608) 266-7461,Rep.Emerson@legis.wisconsin.gov
Representative,92,Treig Pronschinske (i),R,(608) 266-7015,Rep.Pronschinske@legis.wisconsin.gov
Representative,93,Warren Petryk (i),R,(608) 266-0660,Rep.Petryk@legis.wisconsin.gov
Representative,94,Steve Doyle (i),D,(608) 266-0631,Rep.Doyle@legis.wisconsin.gov
Representative,95,Jill Billings (i),D,(608) 266-5780,Rep.Billings@legis.wisconsin.gov
Representative,96,Loren Oldenburg (i),R,(608) 266-3534,Rep.Oldenburg@legis.wisconsin.gov
Representative,97,Scott Allen (i),R,(608) 266-8580,Rep.Allen@legis.wisconsin.gov
Representative,98,Adam Neylon (i),R,(608) 266-5120,Rep.Neylon@legis.wisconsin.gov
Representative,99,Cindi Duchow (i),R,(608) 266-3007,Rep.Duchow@legis.wisconsin.gov
