Assembly District,Representative,Senate District,Senator,School Name,Sector,Grade Band,Enrollment,RC Overall Score,RC Overall Rating,ELA Proficiency,Math Proficiency
9,Marisabel Cabrera,3,Tim Carpenter,Lowell International Elementary,Traditional Public,'K-5,208,46.8,Fails to Meet Expectations,18%,19%
9,Marisabel Cabrera,3,Tim Carpenter,Manitoba Elementary,Traditional Public,'K-8,446,57,Meets Few Expectations,7%,3%
9,Marisabel Cabrera,3,Tim Carpenter,Morgandale Elementary,Traditional Public,'K-8,510,64.4,Meets Expectations,10%,8%
9,Marisabel Cabrera,3,Tim Carpenter,Nativity Jesuit Academy,Private,'K-8,247,95.2,Significantly Exceeds Expectations,36%,47%
9,Marisabel Cabrera,3,Tim Carpenter,Our Lady Queen of Peace Grade School,Private,'K-8,172,74.5,Exceeds Expectations,27%,20%
9,Marisabel Cabrera,3,Tim Carpenter,Prince of Peace School Escuela Principe de Paz,Private,'K-8,363,83.3,Significantly Exceeds Expectations,28%,12%
9,Marisabel Cabrera,3,Tim Carpenter,Pulaski High,Traditional Public,'9-12,923,41.8,Fails to Meet Expectations,2%,1%
9,Marisabel Cabrera,3,Tim Carpenter,Rocketship Southside Community Prep,2r/2x Charter,'K-5,467,74.2,Exceeds Expectations,19%,21%
9,Marisabel Cabrera,3,Tim Carpenter,Saint Joseph Academy,Private,'K-8,440,55.2,Meets Few Expectations,7%,6%
9,Marisabel Cabrera,3,Tim Carpenter,Saint Rafael the Archangel North & South Campus,Private,'K-8,311,76,Exceeds Expectations,28%,27%
9,Marisabel Cabrera,3,Tim Carpenter,Saint Roman Grade School,Private,'K-8,327,91.7,Significantly Exceeds Expectations,36%,32%
9,Marisabel Cabrera,3,Tim Carpenter,Seeds of Health Elementary Program,2r/2x Charter,'K-8,383,59.5,Meets Expectations,13%,17%
9,Marisabel Cabrera,3,Tim Carpenter,TransCenter for Youth/El Puente High,Private,'9-12,92,NA,NR-DATA,12%,0%
9,Marisabel Cabrera,3,Tim Carpenter,Veritas High,2r/2x Charter,'9-12,251,64.3,Meets Expectations,15%,14%
9,Marisabel Cabrera,3,Tim Carpenter,Word of Life Lutheran School,Private,'K-8,63,75.2,Exceeds Expectations,32%,21%
9,Marisabel Cabrera,3,Tim Carpenter,Zablocki Elementary,Traditional Public,'K-5,285,57.7,Meets Few Expectations,12%,16%
10,Darrin Madison,4,Lena Taylor,Andrew S Douglas Middle,Traditional Public,'6-8,219,37.3,Fails to Meet Expectations,2%,1%
10,Darrin Madison,4,Lena Taylor,Barbee Elementary,Traditional Public,'K-5,312,52.8,Meets Few Expectations,2%,1%
10,Darrin Madison,4,Lena Taylor,Believers in Christ Christian Academy,Private,'K-12,167,67.7,Meets Expectations,12%,7%
10,Darrin Madison,4,Lena Taylor,Christian Faith Academy of Higher Learning,Private,'K-8,61,NA,NR-DATA,0%,0%
10,Darrin Madison,4,Lena Taylor,Divine Destiny School,Private,'K-8,52,66.4,Meets Expectations,0%,0%
10,Darrin Madison,4,Lena Taylor,Dr Howard Fuller Collegiate Academy,2r/2x Charter,'9-12,325,49.7,Meets Few Expectations,3%,1%
10,Darrin Madison,4,Lena Taylor,Fratney Elementary,Traditional Public,'K-5,448,55.4,Meets Few Expectations,16%,11%
10,Darrin Madison,4,Lena Taylor,Garden Homes Lutheran School,Private,'K-8,93,78.9,Exceeds Expectations,20%,24%
10,Darrin Madison,4,Lena Taylor,Hope Christian High,Private,'9-12,251,39.2,Fails to Meet Expectations,0%,0%
10,Darrin Madison,4,Lena Taylor,Hope Christian School: Fortis,Private,'K-8,479,58.4,Meets Expectations,5%,3%
10,Darrin Madison,4,Lena Taylor,Hope Christian School: Semper,Private,'K-8,553,69.2,Meets Expectations,5%,8%
10,Darrin Madison,4,Lena Taylor,Hopkins Lloyd Community School,Traditional Public,'K-5,126,17.2,Fails to Meet Expectations,NA,3%
10,Darrin Madison,4,Lena Taylor,Keefe Avenue Elementary,Traditional Public,'K-5,163,18.8,Fails to Meet Expectations,3%,NA
10,Darrin Madison,4,Lena Taylor,King International,Traditional Public,'9-12,1334,66.3,Meets Expectations,28%,16%
10,Darrin Madison,4,Lena Taylor,King Jr Elementary,Traditional Public,'K-8,300,70.9,Exceeds Expectations,1%,1%
10,Darrin Madison,4,Lena Taylor,LaFollette Elementary,Traditional Public,'K-8,185,65.7,Meets Expectations,1%,NA
10,Darrin Madison,4,Lena Taylor,Malaika Early Learning Center,Private,'K-5,77,NA,NR-DATA,0%,0%
10,Darrin Madison,4,Lena Taylor,Messmer Catholic Schools,Private,'K-12,1268,65.2,Meets Expectations,9%,5%
10,Darrin Madison,4,Lena Taylor,Milwaukee Math and Science Academy,2r/2x Charter,'K-8,201,69.4,Meets Expectations,13%,6%
10,Darrin Madison,4,Lena Taylor,Saint Philips Lutheran School,Private,'K-8,95,78.2,Exceeds Expectations,26%,27%
10,Darrin Madison,4,Lena Taylor,Southeastern,Partnership,'6-8,5,NA,Alternate Rating - Needs Improvement,NA,NA
10,Darrin Madison,4,Lena Taylor,Torah Academy of Milwaukee,Private,'9-12,6,NA,NR-DATA,NA,NA
11,Dora Drake,4,Lena Taylor,Barton Elementary,Traditional Public,'K-5,228,NA,Alternate Rating - Satisfactory Progress,7%,2%
11,Dora Drake,4,Lena Taylor,Blessed Savior Catholic School,Private,'K-8,417,69.4,Meets Expectations,7%,6%
11,Dora Drake,4,Lena Taylor,Browning Elementary,Traditional Public,'K-5,259,50.9,Meets Few Expectations,1%,3%
11,Dora Drake,4,Lena Taylor,Carmen Middle/High School of Science and Technology Northwest Campus,Non-Instrumentality Charter,'6-12,675,58,Meets Expectations,9%,4%
11,Dora Drake,4,Lena Taylor,Carter's Christian Academy,Private,'K-12,313,33.7,Fails to Meet Expectations,1%,0%
11,Dora Drake,4,Lena Taylor,Destiny High,Private,'9-12,NA,24.9,Fails to Meet Expectations,0%,0%
11,Dora Drake,4,Lena Taylor,Early View Academy of Excellence,Private,'K-12,163,48.2,Meets Few Expectations,1%,2%
11,Dora Drake,4,Lena Taylor,Eastbrook Academy,Private,'K-12,301,71.2,Exceeds Expectations,36%,33%
11,Dora Drake,4,Lena Taylor,Grantosa Drive Elementary,Traditional Public,'K-8,545,57.1,Meets Few Expectations,4%,3%
11,Dora Drake,4,Lena Taylor,Greater Holy Temple Christian Academy,Private,'K-8,469,73.4,Exceeds Expectations,6%,0%
11,Dora Drake,4,Lena Taylor,Green Tree Preparatory Academy,Instrumentality Charter,'6-12,363,29,Fails to Meet Expectations,4%,1%
11,Dora Drake,4,Lena Taylor,Hampton Elementary,Traditional Public,'K-5,164,78.5,Exceeds Expectations,8%,14%
11,Dora Drake,4,Lena Taylor,Hawthorne Elementary,Traditional Public,'K-5,243,55.4,Meets Few Expectations,1%,3%
11,Dora Drake,4,Lena Taylor,Holy Redeemer Christian Academy,Private,'K-12,122,NA,NR-DATA,1%,0%
11,Dora Drake,4,Lena Taylor,Hope Christian School: Fidelis,Private,'K-8,547,62.9,Meets Expectations,6%,14%
11,Dora Drake,4,Lena Taylor,Kilbourn Elementary,Traditional Public,'K-5,231,73.2,Exceeds Expectations,10%,17%
11,Dora Drake,4,Lena Taylor,King's Academy Christian Sch,Private,'K-8,187,78.4,Exceeds Expectations,13%,4%
11,Dora Drake,4,Lena Taylor,Kluge Elementary,Traditional Public,'K-5,342,53.7,Meets Few Expectations,4%,2%
11,Dora Drake,4,Lena Taylor,Lancaster Elementary,Traditional Public,'K-8,296,44.8,Fails to Meet Expectations,1%,1%
11,Dora Drake,4,Lena Taylor,Milwaukee Excellence Charter School,Non-Instrumentality Charter,'6-12,591,55,Meets Few Expectations,3%,4%
11,Dora Drake,4,Lena Taylor,Milwaukee Scholars Charter School,2r/2x Charter,'K-8,717,73,Exceeds Expectations,14%,14%
11,Dora Drake,4,Lena Taylor,Milwaukee Sign Language Elementary,Traditional Public,'K-8,436,62.8,Meets Expectations,4%,1%
11,Dora Drake,4,Lena Taylor,Morse Mid,Traditional Public,'6-8,462,37.6,Fails to Meet Expectations,6%,2%
11,Dora Drake,4,Lena Taylor,Northwest Catholic,Private,'K-8,160,67.2,Meets Expectations,14%,10%
11,Dora Drake,4,Lena Taylor,Obama School of Career and Technical Education,Traditional Public,'K-12,1965,26.6,Fails to Meet Expectations,1%,0%
11,Dora Drake,4,Lena Taylor,Pratt Elementary,Traditional Public,'K-5,300,79.4,Exceeds Expectations,6%,8%
11,Dora Drake,4,Lena Taylor,Rocketship Transformation Prep,2r/2x Charter,'K-5,258,71,Exceeds Expectations,13%,7%
11,Dora Drake,4,Lena Taylor,Saint Peter Immanuel Lutheran School,Private,'K-8,123,77.4,Exceeds Expectations,26%,6%
11,Dora Drake,4,Lena Taylor,Stuart Elementary,Traditional Public,'K-5,262,53.5,Meets Few Expectations,12%,14%
11,Dora Drake,4,Lena Taylor,Thoreau Elementary,Traditional Public,'K-8,339,56,Meets Few Expectations,7%,3%
11,Dora Drake,4,Lena Taylor,Thurston Woods Elementary,Traditional Public,'K-8,393,55.3,Meets Few Expectations,3%,2%
12,LaKeshia Myers,4,Lena Taylor,Bruce Elementary,Traditional Public,'K-5,267,29.8,Fails to Meet Expectations,7%,1%
12,LaKeshia Myers,4,Lena Taylor,Bryant Elementary,Traditional Public,'K-5,206,67,Meets Expectations,2%,1%
12,LaKeshia Myers,4,Lena Taylor,City School,Private,'K-8,165,71.9,Exceeds Expectations,4%,3%
12,LaKeshia Myers,4,Lena Taylor,Darrell Lynn Hines Academy,2r/2x Charter,'K-8,199,60.4,Meets Expectations,8%,4%
12,LaKeshia Myers,4,Lena Taylor,Divine Savior Holy Angels High,Private,'9-12,112,83.5,Significantly Exceeds Expectations,32%,22%
12,LaKeshia Myers,4,Lena Taylor,Emerson Elementary,Traditional Public,'K-5,204,61.8,Meets Expectations,9%,2%
12,LaKeshia Myers,4,Lena Taylor,Engleburg Elementary,Traditional Public,'K-5,300,72.6,Exceeds Expectations,14%,16%
12,LaKeshia Myers,4,Lena Taylor,Goodrich Elementary,Traditional Public,'K-5,301,30.7,Fails to Meet Expectations,4%,6%
12,LaKeshia Myers,4,Lena Taylor,Granville Lutheran School,Private,'K-8,252,61.2,Meets Expectations,6%,16%
12,LaKeshia Myers,4,Lena Taylor,HAPA-Hmong American Peace Academy K3-12,Non-Instrumentality Charter,'K-12,1771,72.4,Exceeds Expectations,38%,30%
12,LaKeshia Myers,4,Lena Taylor,Hope Christian School: Caritas,Private,'K-8,557,70.9,Exceeds Expectations,5%,3%
12,LaKeshia Myers,4,Lena Taylor,Inst of Technology & Academics,Private,'K-8,179,NA,NR-DATA,3%,3%
12,LaKeshia Myers,4,Lena Taylor,James Madison Academic Campus,Traditional Public,'9-12,648,37.9,Fails to Meet Expectations,2%,0%
12,LaKeshia Myers,4,Lena Taylor,Maple Tree Elementary,Traditional Public,'K-5,247,65,Meets Expectations,4%,3%
12,LaKeshia Myers,4,Lena Taylor,Milwaukee Lutheran High,Private,'9-12,784,61.1,Meets Expectations,10%,8%
12,LaKeshia Myers,4,Lena Taylor,Milwaukee Seventh Day Adventist School,Private,'K-12,174,62.5,Meets Expectations,7%,3%
12,LaKeshia Myers,4,Lena Taylor,New Testament Christian Academy,Private,'K-8,127,69.2,Meets Expectations,49%,22%
12,LaKeshia Myers,4,Lena Taylor,Ninety-Fifth Street Elementary,Traditional Public,'K-5,403,51.3,Meets Few Expectations,11%,14%
12,LaKeshia Myers,4,Lena Taylor,Parkview Elementary,Traditional Public,'K-5,316,62.9,Meets Expectations,10%,8%
12,LaKeshia Myers,4,Lena Taylor,Right Step Inc,Private,'6-12,NA,NA,NR-DATA,NA,NA
12,LaKeshia Myers,4,Lena Taylor,Risen Savior Evangelical Lutheran School,Private,'K-8,273,89.5,Significantly Exceeds Expectations,23%,19%
12,LaKeshia Myers,4,Lena Taylor,River Trail Elementary,Traditional Public,'K-8,292,69.2,Meets Expectations,8%,1%
12,LaKeshia Myers,4,Lena Taylor,Saint Margaret Mary Grade School,Private,'K-8,131,59.8,Meets Expectations,9%,5%
12,LaKeshia Myers,4,Lena Taylor,Salem Lutheran School,Private,'K-8,168,81.7,Exceeds Expectations,27%,18%
12,LaKeshia Myers,4,Lena Taylor,Shining Star Christian Schools,Private,'K-8,493,60.5,Meets Expectations,6%,3%
12,LaKeshia Myers,4,Lena Taylor,Vincent Accelerated Academy,Traditional Public,'9-12,26,NA,Alternate Rating - Satisfactory Progress,NA,NA
12,LaKeshia Myers,4,Lena Taylor,Vincent High,Traditional Public,'9-12,725,39.8,Fails to Meet Expectations,2%,2%
16,Kalan Haywood,6,La Tonya Johnson,Alliance School of Milwaukee,Instrumentality Charter,'9-12,148,NA,Alternate Rating - Needs Improvement,5%,2%
16,Kalan Haywood,6,La Tonya Johnson,Auer Avenue Elementary,Traditional Public,'K-5,168,16.6,Fails to Meet Expectations,3%,2%
16,Kalan Haywood,6,La Tonya Johnson,Brown Street Academy,Traditional Public,'K-5,253,47.2,Fails to Meet Expectations,2%,1%
16,Kalan Haywood,6,La Tonya Johnson,Carver Academy,Traditional Public,'K-8,326,74.5,Exceeds Expectations,5%,5%
16,Kalan Haywood,6,La Tonya Johnson,Clara Mohammed School,Private,'K-12,137,NA,NR-DATA,1%,1%
16,Kalan Haywood,6,La Tonya Johnson,Clarke Street Elementary,Traditional Public,'K-8,225,64.1,Meets Expectations,3%,NA
16,Kalan Haywood,6,La Tonya Johnson,Cross Trainers Academy,Private,'K-12,383,65,Meets Expectations,5%,1%
16,Kalan Haywood,6,La Tonya Johnson,Elm Creative Arts Elementary,Traditional Public,'K-5,259,50.4,Meets Few Expectations,3%,2%
16,Kalan Haywood,6,La Tonya Johnson,Franklin Elementary,Traditional Public,'K-8,362,58.6,Meets Expectations,2%,2%
16,Kalan Haywood,6,La Tonya Johnson,Golda Meir School,Traditional Public,'K-12,1160,78.1,Exceeds Expectations,46%,31%
16,Kalan Haywood,6,La Tonya Johnson,Grant Gordon Learning Center,Traditional Public,'K-5,NA,NA,NA,NA,NA
16,Kalan Haywood,6,La Tonya Johnson,Highland Community School,Non-Instrumentality Charter,'K-8,422,75.2,Exceeds Expectations,38%,20%
16,Kalan Haywood,6,La Tonya Johnson,Holmes Elementary,Traditional Public,'K-8,256,54.1,Meets Few Expectations,1%,NA
16,Kalan Haywood,6,La Tonya Johnson,Hope Christian School: Prima,Private,'K-8,582,59.3,Meets Expectations,6%,3%
16,Kalan Haywood,6,La Tonya Johnson,Jackson Elementary,Traditional Public,'K-5,245,45.8,Fails to Meet Expectations,1%,NA
16,Kalan Haywood,6,La Tonya Johnson,King International Baccalaureate Middle,Traditional Public,'6-8,328,48.5,Meets Few Expectations,4%,2%
16,Kalan Haywood,6,La Tonya Johnson,Metcalfe Elementary,Traditional Public,'K-8,326,60.4,Meets Expectations,1%,1%
16,Kalan Haywood,6,La Tonya Johnson,Milwaukee College Preparatory School -- Lloyd Street,Non-Instrumentality Charter,'K-8,491,66.1,Meets Expectations,26%,17%
16,Kalan Haywood,6,La Tonya Johnson,Milwaukee College Preparatory School: Lola Rowe North Campus,Non-Instrumentality Charter,'K-8,502,70.9,Exceeds Expectations,19%,18%
16,Kalan Haywood,6,La Tonya Johnson,Milwaukee County Youth Education Center,Traditional Public,'6-12,9,NA,Alternate Rating - Needs Improvement,NA,NA
16,Kalan Haywood,6,La Tonya Johnson,Next Door Charter,Non-Instrumentality Charter,'K-5,NA,NA,NA,NA,NA
16,Kalan Haywood,6,La Tonya Johnson,North Division High,Traditional Public,'9-12,381,10.7,Fails to Meet Expectations,NA,0%
16,Kalan Haywood,6,La Tonya Johnson,NOVA-Northwest Opportunities Vocational Academy,Partnership,'9-12,112,NA,Alternate Rating - Satisfactory Progress,NA,NA
16,Kalan Haywood,6,La Tonya Johnson,Pathways High,2r/2x Charter,'9-12,147,69.7,Meets Expectations,28%,10%
16,Kalan Haywood,6,La Tonya Johnson,Penfield Montessori Academy,2r/2x Charter,'K-5,132,NA,Alternate Rating - Satisfactory Progress,16%,4%
16,Kalan Haywood,6,La Tonya Johnson,Project STAY-Supporting Teachers and Youth,Traditional Public,'9-12,112,NA,Alternate Rating - Satisfactory Progress,2%,NA
16,Kalan Haywood,6,La Tonya Johnson,Riverwest Elementary,Traditional Public,'K-5,263,54.6,Meets Few Expectations,3%,3%
16,Kalan Haywood,6,La Tonya Johnson,Roosevelt Middle,Traditional Public,'6-8,308,55.6,Meets Few Expectations,4%,0%
16,Kalan Haywood,6,La Tonya Johnson,Saint Marcus Lutheran School,Private,'K-8,865,88.2,Significantly Exceeds Expectations,23%,24%
16,Kalan Haywood,6,La Tonya Johnson,Shalom High,Partnership,'9-12,120,NA,Alternate Rating - Satisfactory Progress,NA,NA
16,Kalan Haywood,6,La Tonya Johnson,Siefert Elementary,Traditional Public,'K-5,261,61.3,Meets Expectations,3%,1%
16,Kalan Haywood,6,La Tonya Johnson,Siloah Lutheran School,Private,'K-8,51,34.2,Fails to Meet Expectations,2%,0%
16,Kalan Haywood,6,La Tonya Johnson,Starms Discovery,Traditional Public,'K-8,288,63.2,Meets Expectations,3%,1%
16,Kalan Haywood,6,La Tonya Johnson,Starms Early Childhood,Traditional Public,'K-5,NA,NA,NA,NA,NA
16,Kalan Haywood,6,La Tonya Johnson,Wisconsin Conservatory of Lifelong Learning,Traditional Public,'K-12,376,33.6,Fails to Meet Expectations,1%,NA
17,Supreme Moore Omokunde,6,La Tonya Johnson,ASSATA High,Partnership,'9-12,95,NA,Alternate Rating - Needs Improvement,NA,NA
17,Supreme Moore Omokunde,6,La Tonya Johnson,Atonement Lutheran School,Private,'K-8,432,69.6,Meets Expectations,14%,7%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Banner Preparatory School of Milwaukee,Partnership,'9-12,32,NA,Alternate Rating - Satisfactory Progress,NA,NA
17,Supreme Moore Omokunde,6,La Tonya Johnson,Carson Academy,Traditional Public,'K-8,359,45.3,Fails to Meet Expectations,1%,NA
17,Supreme Moore Omokunde,6,La Tonya Johnson,Central City Cyberschool,2r/2x Charter,'K-12,427,54.1,Meets Few Expectations,3%,3%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Congress Elementary,Traditional Public,'K-8,726,58.8,Meets Expectations,5%,2%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Craig Montessori School,Traditional Public,'K-8,291,70.2,Exceeds Expectations,11%,3%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Eighty-First Street Elementary,Traditional Public,'K-5,322,NA,Alternate Rating - Needs Improvement,11%,7%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Fifty-Third Street Elementary,Traditional Public,'K-8,331,53.7,Meets Few Expectations,2%,1%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Marshall High,Traditional Public,'9-12,1010,15.3,Fails to Meet Expectations,0%,NA
17,Supreme Moore Omokunde,6,La Tonya Johnson,Milwaukee Environmental Science Academy,Non-Instrumentality Charter,'K-8,333,66.9,Meets Expectations,6%,1%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Milwaukee French Immersion,Traditional Public,'K-5,533,66.9,Meets Expectations,31%,25%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Milwaukee German Immersion,Traditional Public,'K-5,551,75.5,Exceeds Expectations,42%,44%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Milwaukee School of Languages,Traditional Public,'6-12,993,57.2,Meets Few Expectations,29%,10%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Mother of Good Counsel Grade School,Private,'K-8,194,84.8,Significantly Exceeds Expectations,27%,12%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Mount Calvary Lutheran Grade School,Private,'K-8,117,44.7,Fails to Meet Expectations,11%,5%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Mount Lebanon Lutheran School,Private,'K-8,202,88.8,Significantly Exceeds Expectations,28%,28%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Northwest Lutheran Grade School,Private,'K-8,238,73.8,Exceeds Expectations,16%,14%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Saint Catherine School,Private,'K-8,133,56.9,Meets Few Expectations,6%,4%
